Id	SE_HS	SE_PT	SE_#1#	SE_GG	SE_NL	SE_TreeFull	SE_TreeHominids
ENST00000367255	0.0006653480472274514	0.0004087743520208939	0.00029986418398639	0.0005541471547142329	0.001105870537616303	0.001473989296807689	0.0010034434938455022
ENST00000570156	0.0007993264500414591	0.0009790600814852779	0.000873076458408956	0.0014150722575000392	0.0021513580380223226	0.0029460084671346473	0.0020736138224686615
ENST00000424728	0.0009030570742421598	0.0009337912551680768	0.0006767973996705963	0.0011851279358560667	0.0022757109145637444	0.0028343595424770544	0.001826685726828577
ENST00000358025	0.0009316853022677372	0.0008340102797440454	0.00025649544269852923	0.0009553009876383028	0.001821246340880881	0.002352455255171346	0.0015734235527049185
ENST00000405460	0.0008683748155979379	0.0007863888335956347	0.0004319907955770679	0.0009813964633060479	0.0014612872728922194	0.002121316694053764	0.001538451535754495
ENST00000378024	0.009630020105865821	0.0	0.0	0.009103148714206203	0.02124471404907989	0.024638427090333728	0.013063393243513698
ENST00000369393	0.0007313311838875651	0.0007072692034936523	0.00043849364746110164	0.0009724905659335218	0.0015547373061038617	0.002155042161133733	0.0014365852242924164
ENST00000301067	0.0007507307753508588	0.0005785227402514897	0.0005541380143836461	0.0007766455308073611	0.0012359283298444942	0.0018700090317264142	0.0013430027389690115
ENST00000447166	0.0013683718731497328	0.0012348045085158526	0.0008211197596864041	0.0012678841148401796	0.0030685215702790803	0.003888637813982259	0.0023646346487171763
ENST00000508628	0.0011884571616409823	0.0012900159534793452	0.0006938450996710652	0.001217078802878026	0.004005744069196953	0.004491209681622779	0.0022261748089215778
ENST00000307340	0.001084188698750971	0.001067428090357324	0.0005040862057296058	0.0010969063247047613	0.0019629972544027052	0.0027490116080053123	0.001959618446768698
ENST00000393567	0.0009130962972924929	0.0009549437140125938	0.00046164570483569177	0.0009878633356008454	0.0023565642615219528	0.002832920510485619	0.0017240896286933117
ENST00000264501	0.0004522597829638427	0.00044575987023831695	0.00028483690994362534	0.0005999443299930582	0.001039896561059455	0.0013609773659743652	0.0008890181745668824
ENST00000394329	0.0006622609479573398	0.0007389810799851899	0.0	0.0007426586506257056	0.0011352799791241957	0.0016506766098077943	0.0012461972401544028
ENST00000622037	0.0005186351186175719	0.00042925185477185124	0.00029987552206475483	0.00047594876488345927	0.0009814417713254922	0.0013188221671707689	0.0008113362388214998
ENST00000443617	0.0005445281652273218	0.0005086876107273396	0.00020345844817428455	0.0005812483313201509	0.0007116435417257601	0.0011667625245335952	0.0009359032278153261
ENST00000435803	0.0012938230999101354	0.001237041394452045	0.0006667416219636665	0.0012405604098324112	0.0025914153311000004	0.0033544803266453973	0.002218910342931722
ENST00000421745	0.0006226372471463815	0.00040944756367494576	0.0	0.00029631752554249693	0.0008652772505314483	0.00115437437293079	0.0007920955060914909
ENST00000262189	0.000942914811148368	0.0008239480491099287	0.0004135565827672767	0.0011255071560861809	0.0017206921820132294	0.00238295529374532	0.0017203844180371161
