Id	HS_Subs	PT_Subs	GG_Subs	NL_Subs	#1#_Subs
ENST00000367255	0.0038999820021324684	0.0016040333411713684	0.002751348749264924	0.010125503607726733	0.0008016950552502144
ENST00000570156	0.004567798100646944	0.006790021237364532	0.012786831621968971	0.0351357108768356	0.005122891092974076
ENST00000424728	0.005542739363484483	0.005542739363484483	0.008945155265658648	0.034203380922049366	0.003075506037914778
ENST00000358025	0.005706578033120284	0.004502483968315679	0.006309169193264721	0.02210536641324415	0.00044933723514950486
ENST00000405460	0.005247686368776138	0.003972988936775558	0.00620477688688287	0.013573062665794756	0.0011108467380499729
ENST00000378024	0.009216655104923952	-0.0	0.009216655104923952	0.04695698308777098	-0.0
ENST00000369393	0.0027734139992198537	0.0027734139992198537	0.004997696658614215	0.013195991132965322	0.0011084427515837378
ENST00000301067	0.002699056969165058	0.0017342715590660247	0.0030852319112108615	0.008313242657108508	0.0017342715590660247
ENST00000447166	0.008647615478295472	0.007436472819144645	0.008647615478295472	0.04672981318103113	0.003409891981164353
ENST00000508628	0.007418580389398982	0.008425325667221682	0.007217352901045069	0.07420017345997232	0.0024000011520009436
ENST00000307340	0.006061217109659476	0.005473039463058469	0.006061217109659476	0.020083368454677165	0.0013654542256129477
ENST00000393567	0.004204631282031924	0.004806738676037567	0.0046059959271952736	0.02816516840585303	0.0009995003330834993
ENST00000264501	0.0010091836561418285	0.0010091836561418285	0.001817264508195404	0.005664591315196118	0.00040355125648555815
ENST00000394329	0.002009646978610767	0.002814637965932901	0.002814637965932901	0.006445138121397296	-0.0
ENST00000622037	0.0012725346361977489	0.0008481764715439449	0.0010603330438894716	0.004673898459688013	0.0004239983103588079
ENST00000443617	0.0014431504411707209	0.0012368585373963583	0.0014431504411707209	0.00226874388331757	0.00020603688133047468
ENST00000435803	0.008227113454901543	0.006782473847553144	0.008227113454901543	0.03162976946692677	0.002050441563172473
ENST00000421745	0.0018627760741903813	0.0008274721200324241	0.00041365047125491947	0.0035214950943505546	-0.0
ENST00000262189	0.004046432951738992	0.0031931905791549088	0.005541361153263729	0.013695912778304212	0.000850520995349491
ENST00000327475	0.002447436976479033	0.001556766688251153	0.00467758955111109	0.010499370436708781	0.0006668889877037677
ENST00000366574	0.0004473272273205465	0.0008948546458437107	0.00022363860095449956	0.0026869698208252975	-0.0
ENST00000360184	-0.0	0.00043057051257233984	0.0002152620824155063	-0.0	-0.0
ENST00000544440	0.0006515365633891038	-0.0	0.0002171316912232611	0.0032619361314084054	0.0002171316912232611
ENST00000649046	0.002398344112660215	0.002616660891171739	0.002398344112660215	0.009847984174391804	0.00043563494481147684
ENST00000261609	-0.0	-0.0	0.01224005489450195	-0.0	-0.0
