Id	HS	PT	GG	NL	#1#	TreeFull	TreeHominids
ENST00000367255	0.08211186412732524	0.0009224860954247269	0.013779478691239905	6.901056065916282e-07	0.2869749855501804	6.959011748279281e-10	0.0001745628457485825
ENST00000570156	0.023112828303821283	3.2114714020907786e-05	2.34784962605606e-10	3.0192866567829237e-20	9.859467883659803e-07	1.2075200588308428e-38	2.580068358360862e-19
ENST00000424728	0.0022278163805346785	0.002153573161544221	1.3586448168972132e-05	9.02974471813944e-17	0.0009336867016526748	3.138411139664743e-28	7.916739616865093e-12
ENST00000358025	0.0016816213177629463	0.02564814013341526	0.007220736548560756	0.00013299753795679712	0.021125058602888398	1.9298841299482242e-09	2.2620790500493265e-06
ENST00000405460	0.004425296736814763	0.08170508554441602	0.011462643269378242	0.0977733349582004	0.37245221018488184	0.0001600411995502403	9.483418713447996e-05
ENST00000378024	0.25842790402356064	0.0	0.2822769644989703	0.06912102709524436	0.0	0.028681394788310083	0.1202391160162517
ENST00000369393	0.3916848725191818	0.4417773124875497	0.14587670844238465	0.07227210744351048	0.3763588018409676	0.04147045389935784	0.15340757252910292
ENST00000301067	0.3568572135238004	0.024119371984493782	0.1266586819831444	3.6015625604316774e-09	0.08399651082586201	2.3079304998134148e-08	0.011144247409343992
ENST00000447166	1.6923893990275953e-05	0.0001110467011780027	0.00011327745038457354	1.1095268861520513e-24	0.0014838448705727977	3.675362104040883e-36	1.0988160939021874e-13
ENST00000508628	9.223477788277401e-05	8.502549332556239e-06	0.0038360685012813586	5.573054049628644e-49	0.019672526268441196	2.4136159402363015e-60	2.222025583979604e-11
ENST00000307340	0.0022063309327775074	0.0075068742309334306	0.028437822279046773	0.009311763183791446	0.2165440186910766	1.6517016090108583e-06	1.5397006235684595e-05
ENST00000393567	0.08895283477824134	0.021651076299801432	0.2606432862649719	3.532745454107764e-08	0.4747755823457798	2.7280508164318053e-09	0.013304251393607198
ENST00000264501	6.947896694133508e-06	1.393581400207524e-05	0.00016391549958306775	2.173218759211476e-21	0.02331188874076537	1.4461297544807303e-33	8.322024275679119e-14
ENST00000394329	0.07257528887846253	0.46637138827068086	0.05950238335550481	9.741789550367721e-16	0.0	8.185134720669342e-14	0.0056720360174066725
ENST00000622037	0.0005161295766604616	1.1425259996757392e-06	4.723579110301978e-10	2.0282500898658935e-28	0.034247661056596275	1.2715221376790811e-42	3.969446866344919e-19
ENST00000443617	0.0024601022954336815	0.000631474918500453	6.762379962784021e-06	4.678628448922441e-77	8.62152753485436e-05	5.187256895725087e-64	2.461827002567995e-12
ENST00000435803	2.4559717222049997e-05	0.000796718974927967	0.00030217209840001786	2.2157314479098324e-10	0.05261157599742393	3.137289175968664e-20	3.2543585483186045e-11
ENST00000421745	0.037092173748463936	2.7843770991495255e-07	1.5747049093896236e-33	1.2310918359411062e-43	0.0	3.599663967473913e-65	1.3829411286666081e-22
ENST00000262189	0.1278002531439626	0.3505834010490269	0.08166045376208936	0.15201776307948456	0.3860566649195487	0.02100791120007514	0.03685010373738693
